no,provinsi,kabkota,alamat,yayasan,pulau,lat,lng,flags
1,Aceh,Aceh Barat,"Desa Langung Meurebo, Aceh Barat",Yayasan Pemuda Santri Aceh Barat,Luar Jawa,4.15,96.13,
2,Aceh,Aceh Besar,Jl. Banda Aceh 0 Medan Desa Lampreh Ingin Jaya Aceh Besar,Yayasan Kurnia Jaya Abadi,Luar Jawa,5.4,95.5,
3,Aceh,Aceh Jaya,Jl. Meulaboh Banda Aceh Desa Leupe Jaya Aceh Jaya,Yayasan Kurnia Jaya Abadi,Luar Jawa,4.75,95.6,
4,Aceh,Aceh Selatan,Desa Tanjung Harapan,Yayasan Berkah Cahaya,Luar Jawa,3.2,97.18,
5,Aceh,Aceh Tamiang,Jl. Banda Aceh 0 Medan Ds Tualang Cut Manyak Payed Aceh Tamiang,Yayasan Makmur Maju Bersama,Luar Jawa,4.28,98,
6,Aceh,Aceh Tengah,"Jln. Putri Pukes, Kp. Lut Kala, Kebayakan",Yayasan Bebesen Gayo Bergizi Nusantara,Luar Jawa,4.62,96.85,
7,Aceh,Aceh Tenggara,Desa Biak Muli Pantai,Yayasan Alfaruqul Faqih Al Aziziyah,Luar Jawa,3.5,97.8,
8,Aceh,Aceh Timur,Jl. Alue Ie Mirah Desa Blang Paoh Julok Aceh Timur,Yayasan Nasabe Pangan Bergizi,Luar Jawa,4.85,97.8,
9,Aceh,Bener Meriah,"Kp. Purwosari, Bandar, Bener Meriah",Yayasan Bebesen Gayo Bergizi Nusantara,Luar Jawa,4.75,96.85,
10,Aceh,Gayo Lues,Jln Kutapanjang0blangkejeren Dusun Turun Junte Desa Rema Kutapanjang Gayo Lues,Yayasan Bebesen Gayo Bergizi Nusantara,Luar Jawa,3.98,97.3,
11,Aceh,Kota Banda Aceh,Jl. Pendidikan Desa Lamjabat Meuraxa Kota Banda Aceh,Yayasan Kurnia Cahaya Permata,Luar Jawa,5.55,95.32,
12,Aceh,Kota Banda Aceh,Jl. Seulanga Jurong Panglima Nyak Raja No. 318 Desa Lamlagang Banda Raya Kota Banda Aceh,Yayasan Makmur Maju Bersama,Luar Jawa,5.53673,95.33216,
13,Aceh,Kota Langsa,Desa Matang Seulimeng Langsa Barat Kota Langsa,Yayasan Makmur Maju Bersama,Luar Jawa,4.47,97.97,
14,Aceh,Kota Lhokseumawe,Jl. Pesantren Babul Huda Aceh Dusun Lhokumbang Desa Meunasah Alue,Yayasan Babul Huda Aceh Indonesia,Luar Jawa,5.18,97.15,
15,Aceh,Kota Sabang,Desa Ie Meulee Suka Jaya Kota Sabang,Yayasan Kurnia Cahaya Permata,Luar Jawa,5.89,95.32,
16,Aceh,Nagan Raya,Desa Blang Baro Kuala Nagan Raya,Yayasan Putri Ratu Ana,Luar Jawa,4.15,96.4,
